latitude,longitude,value
-32.04097,115.84616,50
-31.95871,115.86503,236
-33.95403,115.06241,500
-31.79256,115.79417,160
-31.8021,115.74266,184
-31.9405,115.83015,555
-34.99535,117.91472,338
-32.06125,115.75025,540
-35.01667,117.89854,248
-31.95161,115.85513,222
-31.95282,115.84621,460
-33.15435,115.69602,500
-31.87944,115.82701,707
-31.93826,115.76432,7000
-33.82355,121.92658,480
-31.88713,116.76838,220
-31.94776,115.81974,380
-33.77882,115.98351,585
-31.88989,116.76431,228
-33.65841,115.27935,440
-31.93256,115.76311,333
-17.93485,122.21421,445
-17.93485,122.21421,355
-31.98925,116.00721,270
-31.97697,115.88366,396
-32.05244,115.74861,170
-31.95953,115.81721,444
-31.95337,115.85525,435
-31.89645,115.76244,465
-33.67118,115.09555,800
-31.91477,115.8478,120
-31.91676,115.8504,100
-31.98043,115.77024,59
-33.37255,115.62247,74
-32.04497,115.75903,1200
-33.87478,121.88103,100
-17.96099,122.20928,180
-32.06461,115.75202,278
-31.89075,115.76453,680
-31.73897,115.79392,100
-33.61897,115.1127,416
-33.61643,115.09902,121
-32.57929,115.80543,480
-32.04401,115.75893,270
-32.02727,115.94309,477
-32.02737,115.94323,477
-32.02747,115.94338,477
-32.53809,115.70874,520
-31.95165,115.85366,270
-31.95642,115.86412,121
-32.00685,115.87763,64
-32.46621,115.75206,393
-33.92269,115.17313,596
-31.94095,115.86264,59
-35.00673,117.32185,300
-33.62084,115.06814,520
-31.90807,115.83719,166
-33.95465,115.08903,202
-35.00856,117.7265,480
-31.79107,115.76338,490
-31.95465,115.86307,284
-35.01787,117.88327,360
-33.3138,115.71417,659
-35.01229,117.89929,268
-32.02651,115.9419,423
-32.02641,115.94201,417
-32.0487,115.76306,170
-31.67481,115.69209,500
-31.95881,115.81483,160
-31.94375,115.9206,270
-32.04106,115.76299,190
-31.95208,115.85827,524
-31.93317,115.90616,40
-31.95938,115.80739,3750
-33.63189,115.10085,111
-32.00775,115.94541,240
-31.93821,115.91414,101
-32.01896,115.94643,360
-31.79579,115.73464,350
-31.99403,115.75905,2400
-31.95616,115.82176,84
-33.62937,115.39339,300
-33.63028,115.39346,164
-33.65996,115.26193,318
-31.95211,115.82866,120
-32.08054,115.75621,655
-32.52456,115.72446,440
-17.96024,122.23386,250
-32.04813,115.7759,380
-33.63024,115.39203,328
-32.0622,115.76057,177
-31.97884,115.89588,65
-33.99118,115.01904,308
-33.64692,115.19251,795
-31.82538,115.76169,300
-32.02983,115.88545,190
-32.05704,115.86356,242
-31.82204,115.81028,252
-31.94779,115.82024,298
-32.05458,115.75773,222
-31.80784,115.74911,1225
-33.61772,115.09892,262
-31.86345,115.83409,255
-34.44989,116.03628,164
-31.79623,115.76902,250
-33.72698,115.10629,360
-35.02016,117.90552,288
-17.95769,122.21016,2100
-32.07299,115.75653,720
-32.05927,115.74871,225
-32.0146,115.75816,750
-30.73817,121.46471,1000
-31.95851,115.86984,440
-31.92863,115.81448,120
-31.95247,115.82203,1650
-32.0684,115.75703,525
-32.11842,115.91991,423
-31.9527,115.85408,4400
-31.95401,115.87975,2300
